"variablename1","gpi","year","corall","obsall","cor001.060","cor011.070","cor021.080","cor031.090","cor041.100","cor051.110","cor061.120","cor071.130","cor081.140","cor091.150","cor101.163","category"
"01_Cross-border loans from BIS reporting banks ","Internal Peace",2018,-0.25565757310267,161,-0.1037155095361,-0.174670142172346,-0.209714777791594,-0.125951350217943,-0.168786261985131,0.0484928092981316,0.0953636129011988,0.0361964008284555,-0.0675308913475863,-0.0455055292534055,-0.0572811978467589,"pp-sbe"
"02_Cross-border loans from BIS banks to nonbanks ","Internal Peace",2018,-0.204452874742491,161,-0.019939424810624,-0.120576916770829,-0.157996851516555,-0.113511945397995,-0.180109951312772,-0.0237010886701629,0.121011329646689,0.044853890436217,-0.0584504190448349,0.0106493939466767,-0.0452809435105412,"pp-sbe"
"06_Multilateral loans, total ","Internal Peace",2018,0.235419587022017,158,0.35645122594798,0.337453247786961,0.194936669546927,0.146187614439331,0.105432618029333,-0.0131605688707466,0.0569326869136492,0.0945080093892113,-0.0278070896424353,0.160136022421576,0.0791109924849316,"pp-sbe"
"07_Multilateral loans, IMF ","Internal Peace",2018,0.151984390925118,157,0.173467688037118,0.178631370536268,0.116914478214362,0.142171750261755,0.0746921331246108,-0.0680010630603323,0.00116415129806683,-0.109056055856601,-0.130822864525828,0.217101616019915,0.231682377627421,"pp-sbe"
"08_Multilateral loans, other institutions ","Internal Peace",2018,0.144076226490554,129,0.297624463215892,0.262882586554863,0.110928619529964,0.0364337427428616,0.0314393992014178,-0.017851483932367,0.059050735496242,0.141454646184989,-0.00102655580988753,0.133252702747961,0.0478145405361388,"pp-sbe"
"09_Insured export credit exposures, Berne Union ","Internal Peace",2018,-0.244208216154106,161,-0.0661322748065233,-0.231394937981834,-0.268522119112287,-0.243577672104521,-0.2110484490574,0.0259054086655921,0.191646818248492,0.149743962128628,0.00484942832050602,0.13851025633245,-0.0623442443915106,"other"
"10_Insured export credit exposures, short term (BU) ","Internal Peace",2018,-0.301929611437139,161,-0.127439151202454,-0.28253778824997,-0.311357814435542,-0.269195860857104,-0.207674379430958,0.0632067348274101,0.182250099073602,0.159423436373693,-0.00424327759778316,0.0200080729197915,-0.0841960787362134,"other"
"11_SDR allocation ","Internal Peace",2018,-0.173331230529592,157,-0.054957830566871,-0.138464356231918,-0.143624374043295,-0.108798837129216,-0.179482086818268,0.0723323560281249,0.219918508932544,0.123562986466882,-0.0339822512753445,0.0818447569920194,0.0243981057898877,"pp-sbe"
"12_Liabilities to BIS banks (cons.), short term ","Internal Peace",2018,-0.268629598147533,161,-0.14291379399808,-0.213648360205621,-0.229829187130839,-0.128956611701815,-0.112887854535179,0.0877169850521934,0.0690790329966428,0.00590903712133988,-0.089921655499114,-0.0984431573212767,-0.0494395606198412,"pp-sbe"
"14_Debt securities held by nonresidents ","Internal Peace",2018,-0.198897067994688,158,-0.000994406740498503,-0.135510257618502,-0.135250013970599,-0.106230333771722,-0.193301048799099,0.00179922366789258,0.161081986372959,0.0764152655385683,-0.0329143450360526,0.0406950560029968,0.0477975110156367,"pp-sbe"
"15_Debt securities held by nonresidents, total, short term ","Internal Peace",2018,-0.242310247389989,160,-0.106913666589817,-0.171263147468912,-0.158317258905175,-0.0888792495953182,-0.166200553184445,0.0944823395419081,0.0875552485730459,0.00611711174957421,-0.0899480051289837,-0.11499634668009,-0.0348047830698648,"pp-sbe"
"20_Paris Club claims (ODA) ","Internal Peace",2018,0.0840412768411312,135,0.210227069404871,0.163463650079812,0.0289547548770241,-0.0967619642429141,-0.136827385160765,-0.124504972832262,-0.0785643818130014,0.206785288648348,0.0538006309630084,0.157977465657366,0.0445179935494874,"other"
"21_Paris Club claims (non ODA) ","Internal Peace",2018,0.0475156688431661,135,0.200412879264343,0.130491831381354,0.092744840008267,0.0247299452765476,-0.0758243433854857,-0.174481159083751,-0.0742935698769504,-0.0622723044883574,-0.0244839839968862,0.316100348644851,0.408148235091039,"other"
"22_Liabilities to BIS banks, locational, total ","Internal Peace",2018,-0.239582822070273,161,-0.0689274324418089,-0.158473061146337,-0.191591225872916,-0.117843226745643,-0.171646878990471,0.0565064082964312,0.0994764691115023,0.0392906338002411,-0.0647212173994338,-0.0583698959523652,-0.0593378342071916,"pp-sbe"
"23_Liabilities to BIS banks, consolidated, total ","Internal Peace",2018,-0.253046631056356,161,-0.0793591720593986,-0.183901223207612,-0.196240385214627,-0.135117158882143,-0.161637235299571,0.0609416496665558,0.0803047996991485,0.0240965430739187,-0.0776421047393726,-0.0691337384446141,-0.0395834383818346,"pp-sbe"
"24_International reserves (excluding gold) ","Internal Peace",2018,-0.06176127267218,140,-0.351719172174137,-0.31050153400717,-0.387181940030676,-0.378437273370068,0.167834115189995,0.12413665301665,0.11413680671908,0.0165700375630536,-0.103667394204146,-0.145021901371353,-0.062550346947365,"pp-sbe"
"25_SDR holdings ","Internal Peace",2018,-0.182409903691577,157,-0.0648518915295684,-0.127409693312837,-0.116971355055464,-0.0911286712106166,-0.156323453177845,0.130150990075466,0.226058515438958,0.0432261034299227,-0.103596059622313,-0.0157276028512664,-0.0144531010498192,"other"
"27_Cross-border deposits with BIS rep. banks ","Internal Peace",2018,-0.225609161425209,161,-0.0714124683236198,-0.169579619034715,-0.213360295872287,-0.107467097424174,-0.158388131727065,0.0844676486897409,0.105684329047899,0.0196703697500198,-0.0976091085146509,-0.0797166841142073,-0.0288530560055268,"pp-sbe"
"28_Cross-border dep. with BIS banks,  nonbanks ","Internal Peace",2018,-0.176900637444903,161,0.0137258703132697,-0.104774815442723,-0.144004462646862,-0.0899482290561646,-0.164405792615982,0.0507442295077682,0.108159343165559,-0.00171523042371875,-0.106493502927771,-0.0682061125985431,-0.0355449949858792,"pp-sbe"
"Abuse of defamation and copyright law by elites ","Internal Peace",2018,-0.470679713182599,162,-0.502346068082437,-0.413904457475851,-0.333268324204529,-0.155350326039586,-0.213991526059355,-0.0894931434429953,-0.163726055209512,-0.12179548732998,-0.106940208841648,-0.135053263307749,-0.111925257242692,"pp-wfg"
"Acceptance of the Rights of Others ","Internal Peace",2018,0.791908323264491,163,0.714030553816092,0.700465872344524,0.572201786628296,0.552942500174472,0.41222530786207,0.34266028662959,0.195934306937275,0.233778253479657,0.368796521897228,0.205610099013687,0.457458867913677,"pp-aro"
"Access to electricity ","Internal Peace",2018,-0.353116059679654,161,-0.340071211433078,-0.4178433667783,-0.383110619516518,-0.221049022654098,-0.132043336480011,-0.166959949173172,0.130334968085039,0.0886251297801794,-0.205446235179461,0.108197111047958,-0.0974584200377087,"pp-edr"
"Access to Health Care ","Internal Peace",2018,0.618801564032659,161,0.585187453942705,0.584033585666382,0.500117076337298,0.363825377092153,0.210305121982882,0.220995770547558,-0.116256566654579,-0.0370902979600497,0.21843446597317,0.0102863308904513,0.339015826305733,"pp-hlh"
"Access to improved sanitation facilities ","Internal Peace",2018,0.387014862546983,161,0.413229849550462,0.451967591134174,0.416332970248131,0.252753947939489,0.1403513222388,0.187878046155218,-0.114127781740032,-0.0437968530748128,0.178863029931478,-0.141868138789416,0.0859122610009978,"pp-hlh"
"Access to improved water source ","Internal Peace",2018,0.427447259316857,161,0.485395934975909,0.537761491088056,0.494749161827109,0.319500124673079,0.182738387656852,0.184551047902159,-0.0905843030501052,-0.123324080511405,0.175013383547372,-0.17585000975639,0.170960915611079,"pp-hlh"
"Access to justice ","Internal Peace",2018,-0.708303181008188,162,-0.453368958780645,-0.497139549475417,-0.459872971906192,-0.393711436051854,-0.420325933362747,-0.266323839166066,-0.0897346432337481,-0.22793510741229,-0.262049402143606,-0.21044185187432,-0.414816117766398,"pp-aro"
"Access to justice for men ","Internal Peace",2018,-0.713469321449184,162,-0.480736399302618,-0.553838436199683,-0.489154552618869,-0.430968011133065,-0.443924078018684,-0.272543730176115,-0.0655737547595675,-0.182450095906535,-0.251425345112557,-0.202806062231535,-0.408616265206467,"pp-edr"
"Access to justice for women ","Internal Peace",2018,-0.726372984739794,162,-0.575432890624543,-0.592759330434758,-0.470989477028208,-0.398626467651956,-0.403193673611396,-0.269211309196676,-0.0788753696847286,-0.250813148339888,-0.24956851651656,-0.231969356183188,-0.383678020128769,"pp-edr"
"Access to public services distributed by gender ","Internal Peace",2018,-0.641949363068391,157,-0.510123436814683,-0.532395569987474,-0.4369461667159,-0.378682841696119,-0.281594482717365,-0.434593197860111,-0.25698941028592,-0.281000047592009,-0.158716849472347,0.0768832338160479,-0.145033243336735,"pp-wfg"
"Access to public services distributed by political group ","Internal Peace",2018,-0.650218346564576,156,-0.467007248109423,-0.500055395530266,-0.445049295956904,-0.388868305444894,-0.366346885180151,-0.374117788752573,-0.0914829170982458,-0.159500403419658,-0.237327273835849,0.0868455848598304,-0.288642822966177,"pp-wfg"
"Access to public services distributed by social group ","Internal Peace",2018,-0.685258956218226,157,-0.646764965312212,-0.640872029860804,-0.429321662354265,-0.378906999145995,-0.241273441874413,-0.18236019324953,-0.0462314641829276,-0.224329830823724,-0.19745415708953,-0.0505357108832467,-0.355224862703978,"pp-wfg"
"Access to public services distributed by socio-economic position ","Internal Peace",2018,-0.707279828052892,157,-0.594479673166551,-0.63912275460694,-0.545546095258685,-0.559949236494016,-0.379680470232784,-0.278083070746404,-0.0881488665574834,-0.150386893764776,-0.236855787538433,-0.0328538134834719,-0.292485573381162,"pp-wfg"
